SupplierID,SupplierName,ContactInfo,Address
1,Apple,652-522-7230,02833 Prairie Rose Drive
2,Samsung,403-664-2259,3 Crowley Junction
3,Google Pixel,470-791-7654,85 Judy Avenue
4,Xiaomi,375-705-5225,19820 Pine View Alley
5,Huawei,127-455-0889,82 Stoughton Avenue
6,OnePlus,183-384-5876,951 Twin Pines Alley
7,Oppo,430-346-8865,625 Acker Avenue
8,Vivo,175-184-2287,42 Fallview Court
9,Sony,570-859-8105,03774 Shoshone Pass
10,Realme,768-637-7856,9027 Sachtjen Court
11,Motorola,678-918-2262,20136 Dayton Court
12,Asus,773-137-1276,3083 Raven Point
13,Tecno Mobile,724-862-7737,22417 Thackeray Pass
14,LG,660-237-1142,38 Fallview Street
15,ZTE,201-465-9076,387 American Pass
16,Nokia,850-350-1743,4 Rusk Center
17,HTC,544-256-3677,31 Hudson Hill
18,Panasonic,712-471-6445,4 Rowland Drive
19,Honor,397-538-2353,56668 Hudson Alley
20,Alcatel,363-529-7108,438 Buell Way
