ManufactureID,ManufactureName,Country,Contact
1,Foxconn,France,616-722-9433
2,Pegatron,Nigeria,504-352-5255
3,Wistron,China,707-701-6769
4,Compal Electronics,Sweden,687-802-5473
5,Quanta Computer,Poland,691-420-6856
6,Inventec Corporation,Poland,196-405-0944
7,Sanmina Corporation,Brazil,336-386-1024
8,Benchmark Electronics,United States,713-941-0414
9,Universal Scientific Industrial,France,152-303-8121
10,TT Electronics,Ukraine,443-929-9719
11,SIIX Corporation,Indonesia,666-635-8335
12,New Kinpo Group,Egypt,425-609-6056
13,Plexus Corp,Spain,753-907-0235
14,Cal-Comp Electronics,Russia,714-462-1104
15,Kimball Electronics,France,194-464-5915
16,Sparton Corporation,Indonesia,113-612-0279
17,Celestica,China,203-696-3513
18,Elcoteq,Micronesia,537-331-9683
19,Flextronics,Russia,339-182-2470
20,Jabil Circuit.,China,674-794-9524
